KakaoTalk Chats 자바 프로그래밍 전체톡 (24)
Date Saved : May 28, 2018, 9:46 AM


March 3, 2018, 12:52 AM
May 14, 2018, 10:38 AM, 이승용 : postion.getlink()를 안쓰고 position.link로 만써도 되는건가요?
May 14, 2018, 2:40 PM, 김대교 : 교수님 여러개의 채팅내용이 한번에 읽혀져야 하는건가요??
May 14, 2018, 2:50 PM, 남재창 : 자기가 짜기 나름인데, 한번에 여러개의 파일 다 읽어서 한번에 모아놓고 처리하면 편하겠죠?

May 15, 2018, 2:54 AM
May 15, 2018, 2:54 AM, 정희석 : 교수님 패키지 이름에 edu.handong.csee.java.chatCounter 처럼 대문자 들어가도 괜찮겠죠?
May 15, 2018, 5:17 AM, 남재창 : 상관은 없지만 대문자로 패키지 이름 개발자는 본적이 없어요. 컨밴션은 아닌듯...홈페이지 주소를 대문자로 적지는 않으니까...
May 15, 2018, 9:45 AM, 정희석 : 아하 감사합니다!
May 15, 2018, 3:10 PM, Java_Lov : 교수님 구드에 올려진 채팅 파일을 다운받았는데 일부 파일이 엑셀로 읽히네요...!! txt 파일로 바꿔서 사용해야 하나요?
May 15, 2018, 3:11 PM, 남재창 : 메모장으로 열면되요 :)
May 15, 2018, 3:11 PM, 남재창 : 구드가 순간 뭔가 했음...ㅎㅎ
May 15, 2018, 3:11 PM, Java_Lov : 메모장으로 아예 안열리는건 제 컴퓨터의 문제겠죠....;-(
May 15, 2018, 3:12 PM, Java_Lov : *구글 드라이브ㅋㅋㅋㅋㅋ 줄임말 죄송합니당
May 15, 2018, 3:13 PM, 남재창 : 죄송해할 일은 아닌데...ㅎㅎ 아마 맥파일이라 그런 것 같기도 한데, Atom이라는 편집기 다운받아 사용해봐요.
May 15, 2018, 3:14 PM, Java_Lov : 앗 넵!!! 감사합니다

May 17, 2018, 10:20 AM
May 17, 2018, 10:20 AM, ㅇ : head는 새 노드를 만들때 
May 17, 2018, 10:22 AM, ㅇ : head = new ListNode(addData,head); 인데 tail은 tail.link = new ListNode(addData.tail.link)인 이유가 궁금합니다.. 
May 17, 2018, 10:58 AM, 남재창 : Test
May 17, 2018, 10:58 AM, 남재창 : Test

Test
May 17, 2018, 11:02 AM, 이승용 : <Photo>
May 17, 2018, 11:02 AM, 이승용 : 맥은 2줄로 나옵니다..
May 17, 2018, 11:07 AM, 남재창 : "test"

"test"

May 18, 2018, 3:39 PM
May 18, 2018, 3:39 PM, 남재창 : 윈도우에서 csv파일 읽을 때 인코딩이 안맞아서 파일이 안읽힐 수 있어요. 그럴 경우 인코딩을 utf8로 해주면 됩니다.
May 18, 2018, 3:39 PM, 남재창 : 스캐너로 파일을 읽을 경우 Scanner(file,"utf8")이런식으로요.
May 18, 2018, 7:34 PM, 정희석 : 교수님 과제의 프로그램 실행할 때 C:\myprogram> ChatCounter -i C:\chat\data\path -o C:\output\file\path.csv  이 명령을 터미널 같은 곳에 입력해서 결과를 나타내잖아요 
o옵션 뒤에 path.csv는 이미 있는 파일이라서 저희가 할건 저 파일에 내용을 적어주면 되는건가요? 아니면 어떤 새로운 csv파일을 경로에다가 만들어 줘야하는건가요?
May 18, 2018, 7:36 PM, 남재창 : 이미 있는 파일 아닌데, 패스나 파일명은 사람들마다 다 다른 값 받을 수 있게 하는건데...
May 18, 2018, 7:38 PM, 정희석 : 아하... 알겠습니당
May 18, 2018, 7:39 PM, 남재창 : 아 그리고 맥에서는 윈도우 카카오에서 만든 txt파일이 안읽히거나 깨져 나올수 있는데 그 때는 인코딩을 ms949로 사용해 보세요.
May 18, 2018, 8:57 PM, 성빈 : <Photo>
May 18, 2018, 8:58 PM, 성빈 : 윈도우는 이렇게 선언하면되더라고요.. 참고로 구글 드라이브에서 데이타 다운로드 받을때 압축해서 받으면 파일이 깨지더라고요
May 18, 2018, 8:58 PM, 남재창 : OK  땡큐~~
May 18, 2018, 8:59 PM, 남재창 : File path는 커멘드라인에서 받는 path  string으로 해야해요. 저렇게 하면 무조건 실행하는 디렉터리  data 디렉터리에 파일이 있어야 함.
May 18, 2018, 9:01 PM, 성빈 : 네 교수님!
May 18, 2018, 9:05 PM, 21500002 : public 메소드에 전부 자바독 달아야하나요?
May 18, 2018, 9:05 PM, 21500002 : 아니면 모든 메소드에 전부 달아야하나요?
May 18, 2018, 9:07 PM, 남재창 : public method에만…왜냐면 외부 개발자들은 public메서드 javadoc만 보면 되기 때문에..infomration hiding.
May 18, 2018, 9:07 PM, 21500002 : 넵 감사합니다
May 18, 2018, 9:07 PM, 남재창 : (thumbsup)
May 18, 2018, 9:49 PM, 남재창 : 숙제 1-7번짜기 점수를 개인 성적표에 추가 했습니다. 점수가 예상보다 잘 나왔거나 덜나왔다고 생각이 되면 알려주세요.
May 18, 2018, 9:49 PM, 남재창 : 메일로...

May 20, 2018, 9:31 PM
May 20, 2018, 9:31 PM, 남재창 :  윈도우에서  csv 파일 잘 안읽히는 사람은 다음 코드 힌트로 참고해요...여러가지 방법 중 하나임.
May 20, 2018, 9:31 PM, 남재창 : try {
         BufferedReader br = new BufferedReader(
                  new InputStreamReader(
                               new FileInputStream(file), "UTF8"));
         while ((thisLine = br.readLine()) != null) { // while loop begins here
            lines.add(thisLine);
            System.out.println(thisLine);
         }
         br.close();
      } catch (IOException e) {
         e.printStackTrace();
      } // end while 
May 20, 2018, 10:56 PM, 남재창 : 숙제 하다가 막히는 것 있으면, google에서 검색하면 stackoverflow에서 유용한 힌트 얻을 수 있어요.
May 20, 2018, 10:56 PM, 남재창 : "How to sort hashmap by vlaues in java" 이런식으로 구글에서 검색하면 됨.
May 20, 2018, 11:03 PM, 박세은 : 감사합니다 교수님!

May 21, 2018, 9:12 AM
May 21, 2018, 9:12 AM, 남재창 : 오늘 숙제와 관련된 주제 바로 시작하니까 늦지마요~~~
May 21, 2018, 9:13 AM, 21500002 : 넵
May 21, 2018, 9:13 AM, you : 네
May 21, 2018, 9:17 AM, Synergy : 네~!!
May 21, 2018, 9:11 PM, 남재창 : 내가 만든 프로그램으로 나온 결과 파일 공유합니다.
May 21, 2018, 9:11 PM, 남재창 : https://drive.google.com/drive/u/0/folders/1sLcvbzJaziO88LXpMhufdIRoWZARRTdH
May 21, 2018, 9:11 PM, 남재창 : 내 프로그램도 버그가 있을 수 있어요. 혹시 나랑 결과가 다르면 나한테 다르다고 좀 알려줘요. 그러면 코드 확인해 줄게요
May 21, 2018, 9:13 PM, 21500002 : 넵

May 22, 2018, 12:00 PM
May 22, 2018, 12:00 PM, 남재창 : 예비군 훈련 참석으로 목요일 수업 빠지는 친구들은 예비군 참석했다는 증서 사진 찍어서 메일로 보내주면 출석 처리 해줄게요~~
May 22, 2018, 12:08 PM, 김대교 : 네

May 23, 2018, 12:45 AM
May 23, 2018, 12:45 AM, 정희석 : 교수님 apache commons cli 를 그래들에 디펜던시에 추가해주고 그래들 리프레쉬 해주려는데
May 23, 2018, 12:45 AM, 정희석 : <Photo>
May 23, 2018, 12:45 AM, 정희석 : 이 메세지가 떠서 어떻게 해결해야할지 찾아봐도 잘 모르겠습니다 ㅜㅠ
May 23, 2018, 12:51 AM, 남재창 : Commons cli 없에면 괜찮고? 나도 첨 보는건데...
May 23, 2018, 12:52 AM, 정희석 : <Photo>
May 23, 2018, 12:52 AM, 정희석 : 음 없어도 에러나는거같아요
May 23, 2018, 12:54 AM, 남재창 : 뭔가 꼬였나보다...직접봐야 뭐라도 할 수 있을 것 같은데...한 번 찾아와요.
May 23, 2018, 12:55 AM, 정희석 : 알겠습니다!
May 23, 2018, 1:07 AM, 정희석 : 해결됐습니다! 이클립스에 문제가 있었네요 ㅎㅎ
May 23, 2018, 6:34 AM, 남재창 : (thumbsup)
May 23, 2018, 9:38 AM, 남재창 : 그런데 어떻게 해결한거지? 그냥 껐다 다기 켠거야?
May 23, 2018, 10:30 AM, 정희석 : 이클립스 다시 실행하려는데 뭔가 실행경로가 이상해서 실행이 안됐습니다. 그래서 다른곳에있던 이클립스 실행파일을 다시 그 경로에 넣어줘서 실행하니까 정상적으로 됐습니당!
May 23, 2018, 10:32 AM, 남재창 : OK, thanks!
May 23, 2018, 9:56 PM, 남재창 : 학생중 한명이 내가 만든 프로그램의 버그를 찾았어요.
May 23, 2018, 9:56 PM, 남재창 : 업데이트 된 결과 파일 다시 올렸어요 :)
May 23, 2018, 9:56 PM, 남재창 : https://drive.google.com/drive/u/0/folders/1sLcvbzJaziO88LXpMhufdIRoWZARRTdH
May 23, 2018, 9:56 PM, 김대교 : 와 대단해 
May 23, 2018, 9:56 PM, 남재창 : 버그 찾은 친구는 보너스 1점 줄거에요 :)
May 23, 2018, 9:57 PM, 남재창 : 지금은 버그가 없을 것 같은데...혹시 모르니까 여러분들 메시지 개수가 맞는지 검증해봐요. ㅎㅎ
May 23, 2018, 9:58 PM, 남재창 : git  bash 에서   데이터가 있는 디렉터리 이동 후 grep 여러분id  *
May 23, 2018, 9:58 PM, 남재창 : 이렇게 명령어 치면 여러분 메시지만 또로록 나와요
May 23, 2018, 9:59 PM, 남재창 : 그러면 직접 세어보면 되요 ㅎㅎㅎ
May 23, 2018, 9:59 PM, 남재창 : 개수가 적은 사람것 새어보면 숫자가 맞는지 금방확인 되겠죠? 그럼 수고하고 내일 또 설명해 줄게요~
May 23, 2018, 11:37 PM, 정희석 : 교수님 궁금한게 있는데.. 터미널에서 실행시킬 때 -i 옵션 뒤에 패스 경로를 넣어주잖아요. 그럼 그 경로명이 args[0]의 형태로 들어가는 것인가요?
May 23, 2018, 11:38 PM, 남재창 : 아니 -i가 0 경로가 1 확실히 할려면 브레이크 포인트 걸고args어레이 직접 확인래 봐요.
May 23, 2018, 11:39 PM, 남재창 : 그런데 CLI쓰면 알아서 처리해줄텐데 그건 굳이 알아서 뭣하게?
May 23, 2018, 11:42 PM, 정희석 : 아 사실 감이 잘 안잡혀서요... ㅜㅜ 터미널에 패스명 적은걸 args로 생각해야하는지 Scanner로 받았다고 생각할지 잘 모르겠어요.. cli를 더 공부해보겠습니다
May 23, 2018, 11:43 PM, 남재창 : 터미널 커멘드 라인에서 실행될 때 들어오는게 args에 들어옴
May 23, 2018, 11:49 PM, 정희석 : 음 그럼 옵션 적어준것들은 args의 형태로 들어왔다고 보면 될까요?,,
May 23, 2018, 11:49 PM, 남재창 : 네
May 23, 2018, 11:49 PM, 정희석 : 감사합니다!!

May 24, 2018, 7:28 AM
May 24, 2018, 7:28 AM, 남재창 : 같은 학생이 버그 하나 또 발견...결과 파일 또 업데이트 했어요!!
May 24, 2018, 9:14 AM, you : 와오

May 25, 2018, 10:41 PM
May 25, 2018, 10:41 PM, 남재창 : 영어 분반에서 새로운 버그들을 찾았습니다.
May 25, 2018, 10:41 PM, 남재창 : 결과가 업데이트 됐으니, 확인/비교해 보세요.
May 25, 2018, 10:41 PM, 남재창 : https://drive.google.com/drive/u/0/folders/1sLcvbzJaziO88LXpMhufdIRoWZARRTdH
May 25, 2018, 10:42 PM, 남재창 : 관련 내용은 여기에 기록해 두었습니다.
May 25, 2018, 10:42 PM, 남재창 : https://docs.google.com/presentation/d/1aw_Q2rOZUN0hIoiuE8QrXka8i7UjG-USB4ueT322AcE/edit#slide=id.g37df81aa9c_26_0
May 25, 2018, 10:42 PM, 남재창 : 즐 코딩~~~~~
May 25, 2018, 11:25 PM, 남재창 : 다른 버그가 있어서 데이터 한번 더 업데이트 했어요~~~오전 12:25을 00:25로 변환을 안했었네요~~

May 26, 2018, 5:40 PM
May 26, 2018, 5:40 PM, 한정섭 : 교수님 저번에 regular expression 강의하셨던 자료랑 cheat sheet 웹링크 구글드라이브에 있나요?
May 26, 2018, 5:56 PM, Synergy : 구글 닥스에 잇더군요
May 26, 2018, 5:56 PM, Synergy : http://www.regexplanet.com/advanced/java/index.html
May 26, 2018, 5:56 PM, Synergy : http://files.zeroturnaround.com/pdf/zt_regular-expressions-cheat-sheet.pdf
May 26, 2018, 6:36 PM, 한정섭 : 감사합니다
May 26, 2018, 9:36 PM, 김대교 : 교수님 레파지토리 말고 파일들만 따로 지울수는 없는 건가요??
May 26, 2018, 9:37 PM, 남재창 : 지울 수 있긴한데 히스토리는 남아요~
May 26, 2018, 9:38 PM, 김대교 : 제가 다 엎고 다시 만들어서...그냥 레파지토리 하나 다시 만드는게 빠른가요??
May 26, 2018, 9:38 PM, 남재창 : 지운 파일들은 이클립스 커밋창 unstage 칸에 x라고 나올건데, 그 놈들은 staged칸으로 드레그 해서 옮긴 후 커밋하면 됨
May 26, 2018, 9:39 PM, 김대교 : 앗 감사합니다/!!!!
May 26, 2018, 11:58 PM, 박세은 : <Photo>
May 26, 2018, 11:59 PM, 박세은 : 리프레쉬를 해주려고 하는데 그래들 빌드가 인식이 안되는것 같습니다.. 혹시 해결방안 아시는 분 계신가요..? 

May 27, 2018, 12:00 AM
May 27, 2018, 12:00 AM, 김태현 : 저도 그랬었는데 이클리스 다시 실행하니까 되더라구요!!
May 27, 2018, 12:00 AM, 남재창 : 팝업 띄우고 Gradle > Refresh Gradle project 메뉴 이용한건가?
May 27, 2018, 12:02 AM, 박세은 : 이클립스를 다시 실행을해도 안되더라구요..ㅠ
May 27, 2018, 12:02 AM, 박세은 : 네..! 그걸 이용했었는데
May 27, 2018, 12:03 AM, 박세은 : 지금은 그것마저 보이지 않습니다
May 27, 2018, 12:04 AM, 박세은 : <Photo>
May 27, 2018, 12:08 AM, 남재창 : 푸쉬해봐
May 27, 2018, 12:15 AM, 남재창 : 숙제 다한 사람들은 힘들어 하는 친구들 좀 도와주삼...
May 27, 2018, 12:16 AM, 21500002 : 살려줘ㅇ...ㅛ...
May 27, 2018, 12:17 AM, 김기범 : 저...도...
May 27, 2018, 12:32 AM, 박세은 : 음...그래도 똑같습니다ㅠ
May 27, 2018, 1:47 AM, 정희석 : ㅜㅜ힘듭니다
May 27, 2018, 2:19 AM, 한정섭 : 교수님 지금 expected results 업데이트 된건가요?
May 27, 2018, 2:20 AM, 한정섭 : 교수님 164번이 아니라 177번 아닌가요?
May 27, 2018, 2:20 AM, 김대교 : 띠용???
May 27, 2018, 2:24 AM, 한정섭 : 제가실수했네요 죄송합니다
May 27, 2018, 2:25 AM, 김대교 : distZip 하는거 그냥 build.gradle에 ppt내용 추가하는게 끝인가요??
May 27, 2018, 7:48 AM, 남재창 : ㅇㅇ
May 27, 2018, 7:49 AM, 남재창 : 그거 넣고 Gradle build라고 치면 패키지 생성
May 27, 2018, 12:35 PM, 한정섭 : 교수님 txt파일 l7은 년도 날짜가 없고 왜 l8만 왜 영어로 되있나요?
May 27, 2018, 12:36 PM, 한정섭 : l8은 날짜가 없는데 regular expression 쓸수있나요?
May 27, 2018, 12:36 PM, 한정섭 : l7*
May 27, 2018, 12:48 PM, 남재창 : 윈도우 카카오톡 개발자가 그렇게 만들어서 우리를 어렵게 만들어서 그래요.
May 27, 2018, 12:49 PM, 남재창 : L7의 경우는 날짜 정보가 없기때문에 시간과 메시지로만 중복 체크하는 식으로 특별 케이스로 처리해야함
May 27, 2018, 12:50 PM, Synergy : buffered reader 로 읽으면 한 라인씩밖에 못 읽는데 메시지가 여러줄인 메시지는 어떻게 처리해야 하는지 모르겠습니다... ㅠㅠ
May 27, 2018, 12:52 PM, 남재창 : 다루기 애매하죠? 우리는 윈도우 카카오톡 개발자를 원망해야 해요. 여러분들은 앞으로 그런식으로 프로그램 짜지 않도록, 이 사례를 타산지석으로 삼았으면 좋겠어요.
May 27, 2018, 12:53 PM, 남재창 : 힌트를 하나 주자면, 그냥 한줄만  contains이용해서
May 27, 2018, 12:53 PM, 남재창 : 부분적으로만 맞으면 내용이 맞다고 해주면 되요.
May 27, 2018, 12:53 PM, 남재창 : 원래긴메시지.contains(한줄스트링)
May 27, 2018, 12:53 PM, 남재창 : 이런식으로요.
May 27, 2018, 12:53 PM, Synergy : 음.... 그 정도만 해도 괜찮은거죠? 알겠습니다!!
May 27, 2018, 12:54 PM, 남재창 : ㅇㅇ
May 27, 2018, 12:54 PM, 남재창 : 보니까 그렇게 해도 시간정보가 다르기 때문에 중복 메시지 정확하게 비교할 수 있어요.
May 27, 2018, 12:54 PM, 남재창 : 시간정보랑 메시지 일부만으로 가능하단말이에요. 
May 27, 2018, 12:54 PM, Synergy : 아 그렇겠네요
May 27, 2018, 12:54 PM, Synergy : 알겠습니다
May 27, 2018, 12:54 PM, 남재창 : 시너지는 이미 거의다 했다보네~
May 27, 2018, 12:55 PM, 남재창 : 오후에 학교에 있으니 도움이 필요한 친구는 연락줘요~
May 27, 2018, 1:02 PM, 남재창 : 혹시 마감일 하루 연장 해주면 좋을 것 같아요? 내일 수업시간에 숙제 관련 질문도 받고?
May 27, 2018, 1:03 PM, 정희석 : 네 ㅜㅜ제발
May 27, 2018, 1:03 PM, 이승용 : 네 교수님! ㅠㅠ
May 27, 2018, 1:03 PM, 남재창 : 내일 수업은 숙제 관련 된 내용만 질문받고 알려주는 식으로 수업진행하고요~~~
May 27, 2018, 1:03 PM, 남재창 : 반대하는 있어요?
May 27, 2018, 1:04 PM, 남재창 : 반대하는 사람 있으면 메일로 알려줘요...
May 27, 2018, 1:04 PM, 남재창 : 없으면 연장해줄게요 내일 수업도 숙제관련 질문만 받고 같이 코딩해보고~~
May 27, 2018, 1:04 PM, 21500002 : 와ㅏㅏㅏㅏ
May 27, 2018, 1:04 PM, 21500002 : 감사함니다
May 27, 2018, 1:05 PM, 정희석 : 감사합니다
May 27, 2018, 1:05 PM, 남재창 : 이 숙제만 제대로 할 수 있으면, 웬만한 문제는 코딩으로 해결할 수 있을거에요~~어차피 절대 평가라서, 서로 서로 돕고 배워야죠 포기하지 말고~~
May 27, 2018, 1:05 PM, 이상현 : 교수님 하루연장이면 5월28일 22시까지 제출인건가요?
May 27, 2018, 1:05 PM, 남재창 : 이틀 연장 해줄까요?
May 27, 2018, 1:06 PM, 정희석 : 그러면 더좋습니다... ㅠㅠㅠ
May 27, 2018, 1:06 PM, 이상현 : 헐(하트)
May 27, 2018, 1:06 PM, 이승용 : 진짜...
May 27, 2018, 1:06 PM, 남재창 : 내일 배우고 작업하려면 시간이 더 필요하겠죠
May 27, 2018, 1:06 PM, 이승용 : 대박..
May 27, 2018, 1:06 PM, 21500002 : 다다익선입니다 교수님 하튜뿅뿅
May 27, 2018, 1:06 PM, 정희석 : 밥이안넘어갑니다 ㅠ
May 27, 2018, 1:06 PM, 남재창 : 오늘 오후 6시까지 반대하는 사람 없으면 연장해줄게요~ 반대하는 사람 메일로 알려줘요~~
May 27, 2018, 1:07 PM, 21500002 : 혹시 톡방에서 익명으로 투표하는게어떨까요??
May 27, 2018, 1:07 PM, 한정섭 : 와 정말 감사합니다.. 기한이 너무 짧은 느낌이었어요 과제가 아니라  프로젝트 같은 느낌이라서..
May 27, 2018, 1:07 PM, 남재창 : 오픈 챗방은 투표기능 없을텐데...
May 27, 2018, 1:08 PM, 21500002 : ㅇㅎ.. 그렇군요 죄송함다 ㅠ
May 27, 2018, 1:15 PM, 한정섭 : 교수님 영어분반 txt파일은 l7 l8같은 케이스가 없는데 저희도 날짜년도 한글로 있는 txt파일로 통일해 주시면 안되나요?
May 27, 2018, 1:16 PM, 한정섭 : 날짜빼고 중복된거 빼는거 체크해봤는데 다 제거가 안됩니다
May 27, 2018, 1:16 PM, 남재창 : 저는 여러분들 모두가 원하는 프로그램을 만들 수 있는 자신감을 얻었으면 좋겠어요. 이번 숙제를 그런 자신감을 위한 것이지, 단순히 여러분들 평가하려는 숙제가 아니에요. 이 숙제를 혼자 힘으로 할 수 있으면, 웬만한 프로그램은 자바로 다 만들 수 있어요. 더 많은 학생들이 많이 배우고 자신감을 얻었으면 좋겠어요. 어차피 평가는 절대 평가니까 서로 사로 돕고 배워가요. Copy&Paste만 안하면 되고 아이디어 공유는 자유롭게 하되 코딩은 혼자서 하면 되요.
May 27, 2018, 1:17 PM, 남재창 : @한정섭 시간이랑 메시지로만으로 걸러내면 될텐데...
May 27, 2018, 1:18 PM, 남재창 : 내일 수업시간에 질문하면 내 코드 어떻게 작성했는지 보여줄게요~
May 27, 2018, 1:48 PM, 이현지 : 감사합니다ㅠㅠ
May 27, 2018, 5:18 PM, 정희석 : 교수님 혹시 퇴근하셨나요
May 27, 2018, 5:27 PM, 남재창 : 아니 아직 있는데...
May 27, 2018, 5:27 PM, 남재창 : 근데 6시에 저녁먹을건데...
May 27, 2018, 5:27 PM, 정희석 : ..??? 문이닫혀있더라구요
May 27, 2018, 5:27 PM, 남재창 : 아 409호에 있어 뉴튼홀
May 27, 2018, 5:27 PM, 정희석 : 아 거기로 가도 괜찮을까요
May 27, 2018, 5:27 PM, 남재창 : 메일먼저 보내고 오지. 어디야?
May 27, 2018, 5:27 PM, 남재창 : ㅇㅇ
May 27, 2018, 5:28 PM, 정희석 : 아 죄송합니다 ㅜ
May 27, 2018, 5:28 PM, 정희석 : 오석이라 가고있습니다
May 27, 2018, 6:07 PM, 남재창 : 데드라인 연장하면 이미 다한 사함 억울할 수 있으니 원래 제출일까지 다하는 사람은 보너스 2점 주는 걸로 하고, 이틀 연장 하겠습니다. 대신 원 데드라인에 제출하는사람은 추후에 업데이트는 불가합니다. 그러니 원데드라인 으로 제츨하는 사람들은 내게 멜 줘서 알려줘요. 그럼 보너스 2점 나가지만, 거기까지만 채점이요.
May 27, 2018, 8:39 PM, 김기범 : 감사합니다...!
May 27, 2018, 10:02 PM, 남재창 : 오늘 제출한 사람은 메일로 알려주세요. 알려줘야 보너스 2점 나가요

May 28, 2018, 8:40 AM
May 28, 2018, 8:40 AM, 남재창 : 윈도우 cmd 에서 gradle distZip 할 때 컴파일 에러나는 사람은 cmd /U 명령을 실행 후 gradle distZip하거나 그냥 git bash를 사용하세요. 인코딩 문제로 컴파일이 안될 수도 있어요.
